dev;username;sleepings;hibernatings;deads
4912;joshk;[51, 1267, 150, 145, 214, 146];[43, 129, 176, 112, 120];[386]
8179;dhh;[87, 49, 51, 47, 140, 91, 77, 75, 48, 109, 37, 43, 30, 80, 51, 101, 29, 123, 112];[74, 196, 31, 26, 24, 33, 27, 33];[]
190210;wangjohn;[47, 57, 113, 60];[144, 51];[1550]
1635;robin850;[245, 115, 53, 27, 33, 33, 26, 84, 107, 78, 68, 54, 227, 76];[29, 42, 62, 63, 77, 42];[]
8153;rafaelfranca;[83, 147, 30, 13, 10, 4, 6, 4, 8, 8, 8, 10, 20, 8, 7, 10, 8, 9, 7, 7, 14, 10, 9, 23, 7, 15, 9, 14, 20];[77, 141, 9, 19, 17];[]
3892;wycats;[102, 325, 327, 253];[41, 78, 18, 19, 121, 74, 100, 66, 302];[1178]
116520;prathamesh-sonpatki;[125, 228, 139, 45, 32, 21, 10, 11, 36, 39, 89, 274];[12, 85];[]
27843;dmathieu;[50, 25, 106, 59, 38, 69, 480, 1021, 430];[150, 144, 123, 362];[]
11000;sikachu;[129, 77, 114, 184, 111, 124, 259, 949];[63];[563]
8150;josevalim;[15, 23, 22, 8, 7, 4, 6, 9, 7, 19, 36, 40, 51, 62, 157, 101, 587, 495];[9, 4, 9, 3, 3, 5, 6, 8, 11, 19, 53, 99, 165];[415]
17141;steveklabnik;[76, 27, 157, 303];[124];[1341]
